"BehaviorSpace results (NetLogo 6.0.4)"
"CapeTownABM.nlogo"
"scenario 1 share"
"04/07/2019 01:44:15:292 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","28","-28","0"
"[run number]","Irrigation-Efficiency","Scenario-1?","water-price-elasticity","share-other-crops-irrigation","water-price","Kc","[step]","reduction-this-month","energy-output-this-month","water-price-this-month","ag-allocation-this-month","mu-allocation-this-month","total-allocation-this-month","V-display","population"
"5","0.7","true","-0.3","0.57","5.2","0.2","20","0","180","0","388.73999999999995","23853.942","24242.682","881919.790743877","3.906"
"18","0.7","true","-0.3","0.59","5.2","0.2","46","0","180","0","3937.5074943233994","27189.878736384002","31127.3862307074","921000","3.9687459840000003"
"8","0.7","true","-0.3","0.57","5.2","0.2","13","0","180","0","30147.950242684994","33298.65","63446.600242684995","895985.7862390445","3.906"
"5","0.7","true","-0.3","0.57","5.2","0.2","21","0","180","0","393.29999999999995","23670.36","24063.66","921000","3.906"
"18","0.7","true","-0.3","0.59","5.2","0.2","47","0","180","0","10473.504804498798","28932.158223360002","39405.6630278588","921000","3.9687459840000003"
"8","0.7","true","-0.3","0.57","5.2","0.2","14","0","180","0","23570.607563991594","31497.984","55068.59156399159","743676.5857536746","3.906"
"5","0.7","true","-0.3","0.57","5.2","0.2","22","0","180","0","4378.709253966999","26760.006","31138.715253967","921000","3.906"
"8","0.7","true","-0.3","0.57","5.2","0.2","15","0","180","0","19328.750498545196","33419.736000000004","52748.4864985452","628328.4026256914","3.906"
"18","0.7","true","-0.3","0.59","5.2","0.2","48","0","180","0","26705.8881789296","32972.341635072","59678.2298140016","921000","4.000495951872001"
"5","0.7","true","-0.3","0.57","5.2","0.2","23","0","180","0","11227.666769201998","28474.74","39702.406769202","921000","3.906"
"8","0.7","true","-0.3","0.57","5.2","0.2","16","0","180","0","10121.2724933596","28709.100000000002","38830.3724933596","570488.4296286011","3.906"
"18","0.7","true","-0.3","0.59","5.2","0.2","49","0","180","0","34657.532806888","34104.22798970881","68761.7607965968","921000","4.000495951872001"
