"BehaviorSpace results (NetLogo 6.0.2)"
"CapeTownABM.nlogo"
"scenario 1 share"
"04/01/2019 11:58:48:415 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","28","-28","0"
"[run number]","Irrigation-Efficiency","Scenario-1?","water-price-elasticity","share-other-crops-irrigation","water-price","[step]","reduction-this-month","energy-output-this-month","water-price-this-month","ag-allocation-this-month","mu-allocation-this-month","total-allocation-this-month","V-display","population"
"7","1.5","true","-0.3","0.69","5.2","62","0","180","0","25022.48548478562","32518.07935074298","57540.564835528596","921000","4.032499919486977"
"2","1.5","true","-0.3","0.59","5.2","6","0","180","0","407.09999999999997","23482.5","23889.6","630394.5706039658","3.875"
"3","1.5","true","-0.3","0.61","5.2","12","0","180","0","13872.429060555649","32193.5","46065.929060555645","921000","3.906"
"7","1.5","true","-0.3","0.69","5.2","63","0","180","0","23370.78127502238","34502.06931113057","57872.850586152956","921000","4.032499919486977"
"6","1.5","true","-0.3","0.67","5.2","9","0","180","0","462.3","23482.5","23944.8","921000","3.875"
"3","1.5","true","-0.3","0.61","5.2","13","0","180","0","20733.888760692702","33298.65","54032.5387606927","921000","3.906"
"7","1.5","true","-0.3","0.69","5.2","64","0","180","0","14907.328140372058","29638.87440822928","44546.20254860134","851373.7373190466","4.032499919486977"
"6","1.5","true","-0.3","0.67","5.2","10","0","180","0","2477.94196770878","26547.625","29025.56696770878","921000","3.875"
"5","1.5","true","-0.3","0.65","5.2","6","0","180","0","448.5","23482.5","23931","631786.8876035437","3.875"
"7","1.5","true","-0.3","0.69","5.2","65","0","180","0","5751.099291666","27126.626958388893","32877.7262500549","826711.332221844","4.032499919486977"
"3","1.5","true","-0.3","0.61","5.2","14","0","180","0","20414.10935118012","31497.984","51912.09335118012","792118.1411285576","3.906"
"6","1.5","true","-0.3","0.67","5.2","11","0","180","0","4889.509948746961","28248.75","33138.25994874696","921000","3.875"
"7","1.5","true","-0.3","0.69","5.2","66","0","180","0","558.9","24436.94951209108","24995.84951209108","921000","4.032499919486977"
"4","1.5","true","-0.3","0.63","5.2","5","0.2","180","0","3945.1259991561124","20853.7","24798.825999156114","446423.63560185605","3.875"
"3","1.5","true","-0.3","0.61","5.2","15","0","180","0","19262.29105487546","33419.736000000004","52682.02705487546","683082.9544261975","3.906"
"6","1.5","true","-0.3","0.67","5.2","12","0","180","0","15087.00906055565","32193.5","47280.50906055565","921000","3.906"
"5","1.5","true","-0.3","0.65","5.2","7","0","180","0","463.45","23424.375","23887.825","909780.8876035437","3.875"
"7","1.5","true","-0.3","0.69","5.2","67","0","180","0","556.14","24376.462013298777","24932.602013298776","921000","4.032499919486977"
"3","1.5","true","-0.3","0.61","5.2","16","0","180","0","12715.903367093159","28709.100000000002","41425.00336709316","625375.9003164464","3.906"
"2","1.5","true","-0.3","0.59","5.2","7","0","180","0","420.66999999999996","23424.375","23845.045","908471.3706039658","3.875"
"6","1.5","true","-0.3","0.67","5.2","13","0","180","0","22337.2087606927","33298.65","55635.8587606927","921000","3.906"
"7","1.5","true","-0.3","0.69","5.2","68","0","180","0","556.14","24626.477008306967","25182.617008306966","921000","4.032499919486977"
"3","1.5","true","-0.3","0.61","5.2","17","0","180","0","3193.2440653155395","26275.662","29468.90606531554","636174.8935822601","3.906"
"5","1.5","true","-0.3","0.65","5.2","8","0","180","0","463.45","23664.625","24128.075","921000","3.875"
"4","1.5","true","-0.3","0.63","5.2","6","0","180","0","434.7","23482.5","23917.2","635447.9836035438","3.875"
"7","1.5","true","-0.3","0.69","5.2","69","0","180","0","558.9","24436.94951209108","24995.84951209108","921000","4.032499919486977"
"6","1.5","true","-0.3","0.67","5.2","14","0","180","0","21931.149351180124","31497.984","53429.13335118012","786232.3621281357","3.906"
