"","run","water.price.elasticity","Irrigation.Efficiency","Scenario.1","Kc","share.other.crops.irrigation","water.price","tick","reduction.this.month","energy.output.this.month","water.price.this.month","ag.allocation.this.month","mu.allocation.this.month","total.allocation.this.month","V.display","population"
"124",2,-0.1,0.7,FALSE,0.2,0.57,5.2,3,0,180,5.2,19779.77679856,33154.5,52934.27679856,561985.55561152,3.875
"125",2,-0.1,0.7,FALSE,0.2,0.57,5.2,4,0,180,5.2,10345.60339928,28481.25,38826.85339928,459226.0020144,3.875
"126",2,-0.1,0.7,FALSE,0.2,0.57,5.2,5,0,180,5.2,3175.1075206194,26067.125,29242.2325206194,431086.29521584,3.875
"127",2,-0.1,0.7,FALSE,0.2,0.57,5.2,6,0,180,5.2,393.3,23482.5,23875.8,611223.830174601,3.875
"128",2,-0.1,0.7,FALSE,0.2,0.57,5.2,7,0,180,5.2,406.41,23424.375,23830.785,889328.230174601,3.875
"129",2,-0.1,0.7,FALSE,0.2,0.57,5.2,8,0,180,5.2,406.41,23664.625,24071.035,921000,3.875
"130",2,-0.1,0.7,FALSE,0.2,0.57,5.2,9,0,180,5.2,393.3,23482.5,23875.8,921000,3.875
"131",2,-0.1,0.7,FALSE,0.2,0.57,5.2,10,0,180,5.2,4164.6394515348,26547.625,30712.2644515348,921000,3.875
"132",2,-0.1,0.7,FALSE,0.2,0.57,5.2,11,0,180,5.2,7559.1331813472,28248.75,35807.8831813472,921000,3.875
"133",2,-0.1,0.7,FALSE,0.2,0.57,5.2,12,0,180,5.2,21875.90083902,32193.5,54069.40083902,921000,3.906
"134",2,-0.1,0.7,FALSE,0.2,0.57,5.2,13,0,180,5.2,30147.950242685,33298.65,63446.600242685,884288.893230797,3.906
"135",2,-0.1,0.7,FALSE,0.2,0.57,5.2,14,0,180,5.2,23570.6075639916,31497.984,55068.5915639916,731979.692745427,3.906
"136",2,-0.1,0.7,FALSE,0.2,0.57,5.2,15,0,180,5.2,19328.7504985452,33419.736,52748.4864985452,616631.509617443,3.906
"137",2,-0.1,0.7,FALSE,0.2,0.57,5.2,16,0,180,5.2,10121.2724933596,28709.1,38830.3724933596,558791.536620353,3.906
