"BehaviorSpace results (NetLogo 6.0.2)"
"CapeTownABM.nlogo"
"scenario 2 price elasticity"
"04/02/2019 18:05:56:204 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","28","-28","0"
"[run number]","water-price-elasticity","Irrigation-Efficiency","Scenario-1?","Kc","share-other-crops-irrigation","water-price","[step]","reduction-this-month","energy-output-this-month","water-price-this-month","ag-allocation-this-month","mu-allocation-this-month","total-allocation-this-month","V-display","population"
"1","-0.1","0.7","false","0.2","0.57","5.2","37","0","180","5.2","32619.695744893994","33833.559513600005","66453.255258494","781474.3517905502","3.9687459840000003"
"7","-0.7","0.7","false","0.2","0.57","5.2","8","0","180","5.2","406.40999999999997","23664.625","24071.035","921000","3.875"
"3","-0.3","0.7","false","0.2","0.57","5.2","8","0","180","5.2","406.40999999999997","23664.625","24071.035","921000","3.875"
"4","-0.4","0.7","false","0.2","0.57","5.2","38","0","180","5.2","26141.865509078394","33146.966458368006","59288.8319674464","626350.841273562","3.9687459840000003"
"1","-0.1","0.7","false","0.2","0.57","5.2","38","0","180","5.2","26141.865509078394","33146.966458368006","59288.8319674464","626350.841273562","3.9687459840000003"
"3","-0.3","0.7","false","0.2","0.57","5.2","9","0","180","5.2","393.29999999999995","23482.5","23875.8","921000","3.875"
"4","-0.4","0.7","false","0.2","0.57","5.2","39","0.18655944236550903","180","7.625272750751618","17167.238275683307","27621.6680248389","44788.906300522205","483685.1773386693","3.9687459840000003"
"3","-0.3","0.7","false","0.2","0.57","5.2","10","0","180","5.2","4164.6394515348","26547.625","30712.2644515348","921000","3.875"
"4","-0.4","0.7","false","0.2","0.57","5.2","40","0.28464142637206313","180","8.90033854283682","7902.196924733617","20867.212026612946","28769.408951346562","411978.3647376249","3.9687459840000003"
"3","-0.3","0.7","false","0.2","0.57","5.2","11","0","180","5.2","7559.133181347199","28248.75","35807.8831813472","921000","3.875"
"4","-0.4","0.7","false","0.2","0.57","5.2","41","0.2952608149577107","180","9.03839059445024","2809.5147501432457","18814.953561587834","21624.468311731078","411688.5468349317","3.9687459840000003"
"3","-0.3","0.7","false","0.2","0.57","5.2","12","0","180","5.2","21875.900839019996","32193.5","54069.400839019996","921000","3.906"
"4","-0.4","0.7","false","0.2","0.57","5.2","42","0.3399633409273317","180","9.619523432055313","293.4522986237083","15874.278110323823","16167.730408947531","463769.6102114696","3.9687459840000003"
"4","-0.4","0.7","false","0.2","0.57","5.2","43","0.15607290215330993","180","7.228947727993029","372.8047954737753","20246.71363482351","20619.518430297285","671966.1493935745","3.9687459840000003"
"3","-0.3","0.7","false","0.2","0.57","5.2","13","0","180","5.2","30147.950242684994","33298.65","63446.600242684995","884288.8932307966","3.906"
"4","-0.4","0.7","false","0.2","0.57","5.2","44","0","180","5.2","441.74999999999994","24237.131724288003","24678.881724288003","921000","3.9687459840000003"
"3","-0.3","0.7","false","0.2","0.57","5.2","14","0","180","5.2","23570.607563991594","31497.984","55068.59156399159","731979.6927454267","3.906"
"4","-0.4","0.7","false","0.2","0.57","5.2","45","0","180","5.2","444.59999999999997","24050.60066304","24495.20066304","921000","3.9687459840000003"
