"BehaviorSpace results (NetLogo 6.0.4)"
"CapeTownABM.nlogo"
"scenario 1 efficiency"
"04/07/2019 01:43:19:093 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","28","-28","0"
"[run number]","Irrigation-Efficiency","Scenario-1?","water-price-elasticity","share-other-crops-irrigation","water-price","Kc","[step]","reduction-this-month","energy-output-this-month","water-price-this-month","ag-allocation-this-month","mu-allocation-this-month","total-allocation-this-month","V-display","population"
"5","0.6","true","-0.51","0.57","5.2","0.2","2","0","180","0","22789.843026719995","31248","54037.843026719995","697056.9065775999","3.875"
"6","0.6","true","-0.51","0.57","5.2","0.2","2","0","180","0","22789.843026719995","31248","54037.843026719995","697056.9065775999","3.875"
"1","0.6","true","-0.51","0.57","5.2","0.2","2","0","180","0","22789.843026719995","31248","54037.843026719995","697056.9065775999","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","55","0","180","0","494.75999999999993","24182.998029066242","24677.75802906624","921000","4.000495951872001"
"14","0.61","true","-0.51","0.57","5.2","0.2","2","0","180","0","22921.761743831998","31248","54169.761743832","696617.1775205601","3.875"
"7","0.6","true","-0.51","0.57","5.2","0.2","4","0","180","0","9905.874342239998","28481.25","38387.12434224","468020.5831552","3.875"
"8","0.6","true","-0.51","0.57","5.2","0.2","3","0","180","0","18900.31868448","33154.5","52054.81868448","569021.22052416","3.875"
"4","0.6","true","-0.51","0.57","5.2","0.2","3","0","180","0","18900.31868448","33154.5","52054.81868448","569021.22052416","3.875"
"17","0.61","true","-0.51","0.57","5.2","0.2","18","0","180","0","393.29999999999995","23670.36","24063.66","714773.6987910932","3.906"
"11","0.61","true","-0.51","0.57","5.2","0.2","2","0","180","0","22921.761743831998","31248","54169.761743832","696617.1775205601","3.875"
"3","0.6","true","-0.51","0.57","5.2","0.2","9","0","180","0","393.29999999999995","23482.5","23875.8","921000","3.875"
"12","0.61","true","-0.51","0.57","5.2","0.2","3","0","180","0","18988.264495887997","33154.5","52142.764495888","568317.654032896","3.875"
"10","0.6","true","-0.51","0.57","5.2","0.2","2","0","180","0","22789.843026719995","31248","54037.843026719995","697056.9065775999","3.875"
"20","0.61","true","-0.51","0.57","5.2","0.2","23","0","180","0","10533.822470304596","28474.74","39008.5624703046","921000","3.906"
"2","0.6","true","-0.51","0.57","5.2","0.2","6","0","180","0","393.29999999999995","23482.5","23875.8","633126.6361567277","3.875"
"18","0.61","true","-0.51","0.57","5.2","0.2","3","0","180","0","18988.264495887997","33154.5","52142.764495888","568317.654032896","3.875"
"9","0.6","true","-0.51","0.57","5.2","0.2","5","0.2","180","0","2274.14915699616","20853.7","23127.849156996162","440760.33447072003","3.875"
"13","0.61","true","-0.51","0.57","5.2","0.2","7","0","180","0","406.40999999999997","23424.375","23830.785","910210.4448593396","3.875"
"15","0.61","true","-0.51","0.57","5.2","0.2","7","0","180","0","406.40999999999997","23424.375","23830.785","910210.4448593396","3.875"
"3","0.6","true","-0.51","0.57","5.2","0.2","10","0","180","0","3870.0809584584003","26547.625","30417.7059584584","921000","3.875"
"1","0.6","true","-0.51","0.57","5.2","0.2","3","0","180","0","18900.31868448","33154.5","52054.81868448","569021.22052416","3.875"
"14","0.61","true","-0.51","0.57","5.2","0.2","3","0","180","0","18988.264495887997","33154.5","52142.764495888","568317.654032896","3.875"
"16","0.61","true","-0.51","0.57","5.2","0.2","56","0","180","0","494.75999999999993","24431.02877808231","24925.788778082308","921000","4.000495951872001"
"6","0.6","true","-0.51","0.57","5.2","0.2","3","0","180","0","18900.31868448","33154.5","52054.81868448","569021.22052416","3.875"
"17","0.61","true","-0.51","0.57","5.2","0.2","19","0","180","0","388.73999999999995","23611.77","24000.510000000002","838231.3787910931","3.906"
"5","0.6","true","-0.51","0.57","5.2","0.2","3","0","180","0","18900.31868448","33154.5","52054.81868448","569021.22052416","3.875"
"7","0.6","true","-0.51","0.57","5.2","0.2","5","0.2","180","0","2274.14915699616","20853.7","23127.849156996162","440760.33447072003","3.875"
"11","0.61","true","-0.51","0.57","5.2","0.2","3","0","180","0","18988.264495887997","33154.5","52142.764495888","568317.654032896","3.875"
"19","0.61","true","-0.51","0.57","5.2","0.2","3","0","180","0","18988.264495887997","33154.5","52142.764495888","568317.654032896","3.875"
"15","0.61","true","-0.51","0.57","5.2","0.2","8","0","180","0","406.40999999999997","23664.625","24071.035","921000","3.875"
"8","0.6","true","-0.51","0.57","5.2","0.2","4","0","180","0","9905.874342239998","28481.25","38387.12434224","468020.5831552","3.875"
