"","run","Irrigation.Efficiency","Scenario.1","water.price.elasticity","share.other.crops.irrigation","water.price","Kc","tick","reduction.this.month","energy.output.this.month","water.price.this.month","ag.allocation.this.month","mu.allocation.this.month","total.allocation.this.month","V.display","population"
"177",2,0.6,TRUE,-0.51,0.57,5.2,0.2,56,0,180,0,494.76,24431.0287780823,24925.7887780823,921000,4.000495951872
"178",2,0.6,TRUE,-0.51,0.57,5.2,0.2,57,0,180,0,495.9,24243.0054683443,24738.9054683443,921000,4.000495951872
"179",2,0.6,TRUE,-0.51,0.57,5.2,0.2,58,0,180,0,3588.4852793712,27407.3977662751,30995.8830456463,921000,4.000495951872
"180",2,0.6,TRUE,-0.51,0.57,5.2,0.2,59,0,180,0,6261.476884056,29163.6154891469,35425.0923732029,921000,4.000495951872
"181",2,0.6,TRUE,-0.51,0.57,5.2,0.2,60,0,180,0,22785.2912625984,33236.1203681526,56021.411630751,921000,4.03249991948698
"182",2,0.6,TRUE,-0.51,0.57,5.2,0.2,61,0,180,0,30126.706756368,34377.0618136265,64503.7685699945,921000,4.03249991948698
"183",2,0.6,TRUE,-0.51,0.57,5.2,0.2,62,0,180,0,24351.0510206628,32518.079350743,56869.1303714058,921000,4.03249991948698
"184",2,0.6,TRUE,-0.51,0.57,5.2,0.2,63,0,180,0,20334.8149443048,34502.0693111306,54836.8842554354,921000,4.03249991948698
"185",2,0.6,TRUE,-0.51,0.57,5.2,0.2,64,0,180,0,10688.7340251588,29638.8744082293,40327.6084333881,857441.169481863,4.03249991948698
"186",2,0.6,TRUE,-0.51,0.57,5.2,0.2,65,0,180,0,3100.887377358,27126.6269583889,30227.5143357469,841215.952615087,4.03249991948698
"187",2,0.6,TRUE,-0.51,0.57,5.2,0.2,66,0,180,0,461.7,24436.9495120911,24898.6495120911,921000,4.03249991948698
